"","voxel_size_x in mm","voxel_size_y in mm","voxel_size_z in mm","area in mm2","volume in mm3","SA_Vol in mm-1","centroid_x in pixels","centroid_y in pixels","centroid_z in pixels","weighted_centroid_x in pixels","weighted_centroid_y in pixels","weighted_centroid_z in pixels"
"SAMPLE-004-T3",0.00703299,0.00703299,0.00703299,179.689613466987,7.07953703007442,25.3815486385129,428.060869321238,379.887761696526,379.351634945146,428.47792739963,380.670077069162,380.233103664293
"SAMPLE-005-T3",0.00703299,0.00703299,0.00703299,67.9310784895893,2.66325176934755,25.506818120403,272.396488218324,232.071864327168,257.427851640887,272.241994923606,232.207651274356,258.732812767637
"SAMPLE-008-T3",0.00703299,0.00703299,0.00703299,65.660251448134,4.44855912458945,14.759891823219,230.149093627853,190.592443843807,265.647302325698,230.401957103502,190.687423826302,266.316874504359
"SAMPLE-009-T3",0.00703299,0.00703299,0.00703299,172.930773134967,12.5493754860305,13.780030195723,282.156480025627,259.829634267543,413.43257975982,282.082779223978,259.055295639753,415.868963540846
"SAMPLE-011-T3",0.00703299,0.00703299,0.00703299,105.652667599948,8.15344424065909,12.9580413481074,229.622317873985,304.474834915733,373.923684797741,230.095726561416,304.361683404093,374.27746292008
"SAMPLE-012-T3",0.00703299,0.00703299,0.00703299,123.745761457642,13.9031613657336,8.90054845818246,281.928362883046,285.270153590785,320.038249833954,282.190803045709,284.865031650952,321.127911616436
"SAMPLE-013-T3",0.00703299,0.00703299,0.00703299,130.39422522903,8.86289769124815,14.7123694497558,258.496548416546,263.743964159346,451.603363203292,258.178276771591,262.770659400899,453.124847964165
"SAMPLE-014-T3",0.00703299,0.00703299,0.00703299,71.2020992582109,6.82308269829961,10.4354735838033,233.347269746989,230.457417067109,254.560921547384,233.496466228523,230.450807036475,255.183866608988
"SAMPLE-015-T3",0.00703299,0.00703299,0.00703299,39.7078893835834,1.92739619349075,20.6018303438006,168.181323939279,158.12246923848,174.127554134752,167.800207570398,157.746077307665,175.232896005544
"SAMPLE-018-T3",0.00703311,0.00703311,0.00703311,43.2141602769655,2.80933604855449,15.3823392894563,205.141722490859,189.790506964898,200.855756628318,205.119456359096,189.440128134693,201.814535678029
"SAMPLE-019-T3",0.00703299,0.00703299,0.00703299,88.8562813211718,6.76184741176765,13.1408291122534,282.450995697953,268.943536902112,306.277654706657,282.422944200859,268.955585605429,307.909964311457
"SAMPLE-021-T3",0.00703299,0.00703299,0.00703299,104.600579089414,7.95068853941428,13.1561661069822,258.852851770834,286.614410778123,308.40156813432,258.777057785933,286.86853456877,308.916562063604
"SAMPLE-022-T3",0.00703299,0.00703299,0.00703299,125.299236789805,13.6248766480484,9.19635751768458,318.037231545699,259.830467047145,347.892296727623,317.623555905475,259.149046787763,349.243201093342
"SAMPLE-023-T3",0.00703299,0.00703299,0.00703299,133.512209913794,13.0427163258963,10.2365340606777,287.44123456721,345.382265135333,279.914025607306,286.544770438853,346.440163197239,281.0492902687
